SKU;Artículo;UMedida
15645;"TUERCA HEXAGONAL ROSCA ORD INOX 1/4""(6.35 mm) ";Uni
15646;"TUERCA HEXAGONAL ROSCA ORD INOX 5/16""(7.93 mm) ";Uni
15647;"TUERCA HEXAGONAL ROSCA ORD INOX 3/8""(9.52 mm) ";Uni
15652;"UNION UNIVERSAL GALVANIZADA 1/2"" (12.7 mm)";Uni
15653;"UNION UNIVERSAL GALVANIZADA 3/4"" (19.05 mm) ";Uni
15654;"UNION UNIVERSAL GALVANIZADA 1"" (25.40 mm) ";Uni
15655;"UNION UNIVERSAL GALVANIZADA 1.1/4"" (31.75 mm) ";Uni
15660;"UNION UNIVERSAL GALVANIZADA 4"" (101.6 mm)";Uni
15678;"UNION RAPIDA PVC 1/2"" (12.7 mm) LD878";Uni
15713;"UNION BRONCE COMPRESION 1/4"" 62-4                           ";Uni
15715;"UNION BRONCE COMPRESION 3/8"" 62-6                           ";Uni
15716;"UNION BRONCE COMPRESION 1/2"" 62-8                           ";Uni
15717;"UNION BRONCE COMPRESION 5/8"" 62-10                          ";Uni
15724;"UNION COPLE PVC DE 1/2"" (12.7 mm)";Uni
15725;"UNION COPLE PVC DE 3/4"" (19.05 mm) ";Uni
15730;"UNION COPLE PVC DE 2.1/2"" (63.5 mm) ";Uni
15731;"UNION COPLE PVC DE 3"" (76.2 mm)";Uni
15732;"UNION COPLE PVC DE 4"" (101.6 mm)";Uni
1580;BASE SENCILLA PARA INTEMPERIE MR1                           ;Uni
1582;BASE TRIPLE PARA INTEMPERIE MR3                             ;Uni
15835;"VALVULA DE BOLA 1/4"" (6.35 mm) 150 RED WHITE ";Uni
15836;"VALVULA DE BOLA 3/8"" (9.5 mm) 150 RED WHITE";Uni
15837;"VALVULA DE BOLA 1/2"" (12.7 mm) 150 RED WHITE";Uni
15838;"VALVULA DE BOLA 3/4"" (19.05 mm) 150 RED WHITE ";Uni
15842;"VALVULA DE BOLA 2"" (50.8 mm) 150 RED WHITE ";Uni
15938;"VALVULA CONTROL 3/8""X1/2"" (9.5 x 12.7 mm) PARED EASTMAN";Uni
15942;"VALVULA CONTROL AL PISO 3/8X1/2"" (9.52 x 12.7 mm) BRASS CRAFT";Uni
16039;VALVULA DE CARGA QTC-007                                    ;Uni
16054;VAPORIZADOR PARA VEGETALES FOX RUN 5592 ;Uni
16060;"VARILLA ROSCADA 5/16""X1 m (7.93 mm x 1 m) ZINCADA G2";Uni
16061;"VARILLA ROSCADA 3/8""X1 m (9.52 mm x 1 m) ZINCADA G2";Uni
16062;"VARILLA ROSCADA 7/16""X1 m (43.75 mm x 1 m) ZINCADA G2";Uni
16063;"VARILLA ROSCADA 1/2""X1 m (12.70 mm x 1 m) ZINCADA G2";Uni
